cath,development_split,evaluation,reference,identity,weighting,reference_rows,query_rows,reference_unique_keys,denominator,seen,unseen,fraction_seen,excluded_empty_key,excluded_generic_failure,query_acyclic_rows,query_acyclic_unique_canonical_ligands
1.10.1300.10,composite_scaffold,validation,train,smiles,rows,416005,21895,115310,21895,16169,5726,0.7384791048184517,0,0,270,231
1.10.1300.10,composite_scaffold,validation,train,smiles,unique_raw_ligands,416005,21895,115310,14963,9542,5421,0.6377063423110338,0,0,270,231
1.10.1300.10,composite_scaffold,validation,train,smiles,unique_keys,416005,21895,115310,14963,9542,5421,0.6377063423110338,0,0,270,231
1.10.1300.10,composite_scaffold,validation,train,canonical_isomeric,rows,416005,21895,110102,21895,16629,5266,0.7594884676866864,0,0,270,231
1.10.1300.10,composite_scaffold,validation,train,canonical_isomeric,unique_raw_ligands,416005,21895,110102,14963,9973,4990,0.6665107264585979,0,0,270,231
1.10.1300.10,composite_scaffold,validation,train,canonical_isomeric,unique_canonical_ligands,416005,21895,110102,14737,9777,4960,0.6634321775123838,0,0,270,231
1.10.1300.10,composite_scaffold,validation,train,canonical_isomeric,unique_keys,416005,21895,110102,14737,9777,4960,0.6634321775123838,0,0,270,231
1.10.1300.10,composite_scaffold,validation,train,murcko_typed,rows,416005,21895,33776,21625,18560,3065,0.8582658959537572,270,0,270,231
1.10.1300.10,composite_scaffold,validation,train,murcko_typed,unique_raw_ligands,416005,21895,33776,14727,11833,2894,0.8034901880899029,236,0,270,231
1.10.1300.10,composite_scaffold,validation,train,murcko_typed,unique_canonical_ligands,416005,21895,33776,14506,11626,2880,0.8014614642217014,231,0,270,231
1.10.1300.10,composite_scaffold,validation,train,murcko_typed,unique_keys,416005,21895,33776,12415,9602,2813,0.7734192509061619,1,0,270,231
1.10.1300.10,composite_scaffold,validation,train,murcko_generic,rows,416005,21895,17300,21619,20184,1435,0.9336232018132199,270,6,270,231
1.10.1300.10,composite_scaffold,validation,train,murcko_generic,unique_raw_ligands,416005,21895,17300,14721,13347,1374,0.9066639494599552,236,6,270,231
1.10.1300.10,composite_scaffold,validation,train,murcko_generic,unique_canonical_ligands,416005,21895,17300,14500,13131,1369,0.9055862068965517,231,6,270,231
1.10.1300.10,composite_scaffold,validation,train,murcko_generic,unique_keys,416005,21895,17300,7972,6661,1311,0.8355494229804316,1,1,270,231
1.10.1300.10,composite_scaffold,cath_lso_test,train,smiles,rows,416005,1108,115310,1108,3,1105,0.002707581227436823,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,train,smiles,unique_raw_ligands,416005,1108,115310,712,3,709,0.004213483146067416,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,train,smiles,unique_keys,416005,1108,115310,712,3,709,0.004213483146067416,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,train,canonical_isomeric,rows,416005,1108,110102,1108,6,1102,0.005415162454873646,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,train,canonical_isomeric,unique_raw_ligands,416005,1108,110102,712,6,706,0.008426966292134831,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,train,canonical_isomeric,unique_canonical_ligands,416005,1108,110102,690,6,684,0.008695652173913044,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,train,canonical_isomeric,unique_keys,416005,1108,110102,690,6,684,0.008695652173913044,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,train,murcko_typed,rows,416005,1108,33776,1108,130,978,0.11732851985559567,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,train,murcko_typed,unique_raw_ligands,416005,1108,33776,712,89,623,0.125,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,train,murcko_typed,unique_canonical_ligands,416005,1108,33776,690,88,602,0.12753623188405797,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,train,murcko_typed,unique_keys,416005,1108,33776,356,31,325,0.08707865168539326,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,train,murcko_generic,rows,416005,1108,17300,1108,587,521,0.529783393501805,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,train,murcko_generic,unique_raw_ligands,416005,1108,17300,712,376,336,0.5280898876404494,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,train,murcko_generic,unique_canonical_ligands,416005,1108,17300,690,365,325,0.5289855072463768,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,train,murcko_generic,unique_keys,416005,1108,17300,244,75,169,0.3073770491803279,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,development,smiles,rows,437900,1108,120731,1108,3,1105,0.002707581227436823,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,development,smiles,unique_raw_ligands,437900,1108,120731,712,3,709,0.004213483146067416,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,development,smiles,unique_keys,437900,1108,120731,712,3,709,0.004213483146067416,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,development,canonical_isomeric,rows,437900,1108,115062,1108,7,1101,0.00631768953068592,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,development,canonical_isomeric,unique_raw_ligands,437900,1108,115062,712,7,705,0.009831460674157303,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,development,canonical_isomeric,unique_canonical_ligands,437900,1108,115062,690,7,683,0.010144927536231883,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,development,canonical_isomeric,unique_keys,437900,1108,115062,690,7,683,0.010144927536231883,0,0,0,0
1.10.1300.10,composite_scaffold,cath_lso_test,development,murcko_typed,rows,437900,1108,36589,1108,134,974,0.12093862815884476,0,0,0,0
