cath,development_split,evaluation,reference,weighting,denominator,mean_max_tanimoto,q05,q25,median,q75,q95,fraction_ge_0.3,fraction_ge_0.4,fraction_ge_0.5,fraction_ge_0.6,fraction_ge_0.7,fraction_ge_0.8,fraction_ge_0.9,fraction_ge_1.0
1.10.1300.10,both,cath_lso_test,development,unique_canonical_ligands,690,0.3932295694292743,0.2945515911282546,0.3424657534246575,0.3796551724137931,0.41509433962264153,0.5390886699507385,0.9391304347826087,0.3565217391304348,0.08840579710144927,0.020289855072463767,0.013043478260869565,0.010144927536231883,0.010144927536231883,0.010144927536231883
1.10.1300.10,both,cath_lso_test,development,rows,1108,0.3987291845423897,0.30042168674698794,0.351279470960322,0.3835616438356164,0.42105263157894735,0.5517241379310345,0.9530685920577617,0.37454873646209386,0.10018050541516245,0.02075812274368231,0.015342960288808664,0.00631768953068592,0.00631768953068592,0.00631768953068592
1.10.1300.10,composite_scaffold,validation,train,unique_canonical_ligands,14737,0.9119528737499067,0.5106382978723404,0.8983050847457628,1.0,1.0,1.0,0.9951821944764877,0.9798466445002375,0.9552147655560833,0.9184365881794123,0.8658478659157224,0.7939200651421592,0.7497455384406596,0.7331207165637511
1.10.1300.10,composite_scaffold,validation,train,rows,21895,0.937808635374911,0.5733333333333334,1.0,1.0,1.0,1.0,0.996437542817995,0.985978533911852,0.9688970084494177,0.9425439598081754,0.9054578670929436,0.8544416533455127,0.8226079013473395,0.8105503539620919
1.10.1300.10,random,validation,train,unique_canonical_ligands,16491,0.9686753456408098,0.75,1.0,1.0,1.0,1.0,0.9990297738160209,0.9967254866290705,0.9902370990237099,0.9805954763204172,0.9637984355102783,0.9276575101570553,0.8885452671153963,0.8816930446910436
1.10.1300.10,random,validation,train,rows,21895,0.9758666308114783,0.7816477272727274,1.0,1.0,1.0,1.0,0.9991778944964603,0.9974423384334323,0.9925097054121945,0.9850194108243892,0.972276775519525,0.9443251883991779,0.9140443023521352,0.9087462891071021
1.10.510.10,both,cath_lso_test,development,unique_canonical_ligands,31767,0.4041825103928682,0.27184466019417475,0.32098765432098764,0.367816091954023,0.4367816091954023,0.6807624113475169,0.8574936254603834,0.3641199987408317,0.14921144584002266,0.0778166021342903,0.045487455535618726,0.028709037680611955,0.02357792677936223,0.022979821827682816
1.10.510.10,both,cath_lso_test,development,rows,109519,0.43394559352269807,0.28125,0.3333333333333333,0.38636363636363635,0.46987951807228917,0.8,0.9003643203462413,0.44805924086231613,0.20582729937271158,0.11827171541011149,0.07248970498269706,0.05004611072051425,0.043864534920881305,0.043161460568485834
1.10.510.10,composite_scaffold,validation,train,unique_canonical_ligands,11127,0.9015756545869017,0.4791666666666667,0.8382352941176471,1.0,1.0,1.0,0.9933495102004134,0.9734879122854319,0.9452682663790779,0.9062640424193403,0.8484766783499595,0.7740630897816123,0.7264312033791678,0.7118720230070998
1.10.510.10,composite_scaffold,validation,train,rows,16433,0.9309289237189922,0.543859649122807,1.0,1.0,1.0,1.0,0.9954968660621919,0.9818049047648025,0.9623927463031704,0.9350696768697134,0.8943589119454756,0.841173248950283,0.8067303596421834,0.7957767906042719
1.10.510.10,random,validation,train,unique_canonical_ligands,11849,0.965798945695345,0.728954802259887,1.0,1.0,1.0,1.0,0.9984808844628239,0.9941767237741581,0.9874250991644865,0.977972824710946,0.9600810194953161,0.9204152249134948,0.8824373364840915,0.8750105494134526
