rep,fold,condition,auc_mean_targets,ef_mean_targets
0,0,baseline,0.958532,40.191674
0,0,ecfp4<0.9,0.956486,39.515530
0,0,ecfp4<0.6,0.955425,39.824490
0,0,ecfp4<0.3,0.938232,32.841473
0,0,scaffold0,0.951721,38.795432
0,1,baseline,0.937969,32.042152
0,1,ecfp4<0.9,0.935300,31.175174
0,1,ecfp4<0.6,0.933061,30.866874
0,1,ecfp4<0.3,0.897960,26.703620
0,1,scaffold0,0.926751,30.618420
0,2,baseline,0.963297,42.259413
0,2,ecfp4<0.9,0.961081,41.570137
0,2,ecfp4<0.6,0.959400,40.926643
0,2,ecfp4<0.3,0.933207,34.559774
0,2,scaffold0,0.959514,40.388410
0,3,baseline,0.959468,40.869786
0,3,ecfp4<0.9,0.952159,38.347921
0,3,ecfp4<0.6,0.947679,37.864073
0,3,ecfp4<0.3,0.923437,28.999235
0,3,scaffold0,0.945579,36.919742
0,4,baseline,0.934288,37.260910
0,4,ecfp4<0.9,0.930184,35.739709
0,4,ecfp4<0.6,0.922303,34.298078
0,4,ecfp4<0.3,0.898503,27.051195
0,4,scaffold0,0.919991,32.784474
1,0,baseline,0.965351,41.518914
1,0,ecfp4<0.9,0.961711,40.385133
1,0,ecfp4<0.6,0.959713,40.102388
1,0,ecfp4<0.3,0.945198,36.335616
1,0,scaffold0,0.955782,38.179489
1,1,baseline,0.941965,35.084262
1,1,ecfp4<0.9,0.937121,34.591349
1,1,ecfp4<0.6,0.930967,32.766120
1,1,ecfp4<0.3,0.907948,28.107284
1,1,scaffold0,0.924120,31.108037
1,2,baseline,0.943306,38.459007
1,2,ecfp4<0.9,0.938601,37.557950
1,2,ecfp4<0.6,0.932284,37.005550
1,2,ecfp4<0.3,0.891963,27.962473
1,2,scaffold0,0.924601,35.504496
1,3,baseline,0.945892,38.029418
1,3,ecfp4<0.9,0.941865,36.428368
1,3,ecfp4<0.6,0.940197,35.752233
1,3,ecfp4<0.3,0.898814,25.125133
1,3,scaffold0,0.938417,34.357800
1,4,baseline,0.959487,40.749993
1,4,ecfp4<0.9,0.956105,38.544660
1,4,ecfp4<0.6,0.953637,38.909030
1,4,ecfp4<0.3,0.934077,32.690186
1,4,scaffold0,0.953241,39.645779
2,0,baseline,0.936250,36.700808
2,0,ecfp4<0.9,0.935342,35.886435
2,0,ecfp4<0.6,0.933035,34.609731
2,0,ecfp4<0.3,0.897597,28.680244
2,0,scaffold0,0.928315,34.070802
2,1,baseline,0.951907,39.496362
2,1,ecfp4<0.9,0.948040,40.185345
2,1,ecfp4<0.6,0.944728,38.639013
2,1,ecfp4<0.3,0.928583,31.828051
2,1,scaffold0,0.935766,36.328504
2,2,baseline,0.961311,40.153814
2,2,ecfp4<0.9,0.958536,38.948739
2,2,ecfp4<0.6,0.954158,37.755266
2,2,ecfp4<0.3,0.928983,30.312163
2,2,scaffold0,0.950082,36.907349
2,3,baseline,0.962112,42.614929
2,3,ecfp4<0.9,0.957658,41.200919
2,3,ecfp4<0.6,0.952217,40.326394
2,3,ecfp4<0.3,0.933116,34.130814
2,3,scaffold0,0.949101,39.394556
2,4,baseline,0.961448,41.318657
2,4,ecfp4<0.9,0.956878,39.810819
2,4,ecfp4<0.6,0.951999,38.591427
2,4,ecfp4<0.3,0.925455,31.036013
2,4,scaffold0,0.949947,37.510236
