cath,model,development,evaluation,threshold,n,value,extended_panel,configuration,cohort,operation,method,panel,figure_role
1.10.510.10,deepdta,random,validation,Weak+,16433,0.982515791034,A,original,full,Original published evaluation,,A,main
1.10.565.10,deepdta,random,validation,Weak+,20827,0.981557338561,A,original,full,Original published evaluation,,A,main
1.10.1300.10,deepdta,random,validation,Weak+,21895,0.981346402705,A,original,full,Original published evaluation,,A,main
1.20.920.10,deepdta,random,validation,Weak+,21185,0.982456874882,A,original,full,Original published evaluation,,A,main
2.40.10.10,deepdta,random,validation,Weak+,20971,0.986953246725,A,original,full,Original published evaluation,,A,main
2.40.70.10,deepdta,random,validation,Weak+,20070,0.982003642414,A,original,full,Original published evaluation,,A,main
2.60.40.10,deepdta,random,validation,Weak+,21211,0.984105585802,A,original,full,Original published evaluation,,A,main
3.10.200.10,deepdta,random,validation,Weak+,16332,0.9751706345,A,original,full,Original published evaluation,,A,main
3.30.565.10,deepdta,random,validation,Weak+,21557,0.978074877612,A,original,full,Original published evaluation,,A,main
3.40.190.10,deepdta,random,validation,Weak+,21811,0.981104786907,A,original,full,Original published evaluation,,A,main
1.10.510.10,deepdta,random,cath_lso_test,Weak+,109519,0.666979978124,A,original,full,Original published evaluation,,A,main
1.10.565.10,deepdta,random,cath_lso_test,Weak+,22467,0.650110945509,A,original,full,Original published evaluation,,A,main
1.10.1300.10,deepdta,random,cath_lso_test,Weak+,1108,0.663824942628,A,original,full,Original published evaluation,,A,main
1.20.920.10,deepdta,random,cath_lso_test,Weak+,13728,0.632396846608,A,original,full,Original published evaluation,,A,main
2.40.10.10,deepdta,random,cath_lso_test,Weak+,18140,0.660405630693,A,original,full,Original published evaluation,,A,main
2.40.70.10,deepdta,random,cath_lso_test,Weak+,36510,0.710863884289,A,original,full,Original published evaluation,,A,main
2.60.40.10,deepdta,random,cath_lso_test,Weak+,14709,0.636610435084,A,original,full,Original published evaluation,,A,main
3.10.200.10,deepdta,random,cath_lso_test,Weak+,95479,0.572241187443,A,original,full,Original published evaluation,,A,main
3.30.565.10,deepdta,random,cath_lso_test,Weak+,7882,0.582447843123,A,original,full,Original published evaluation,,A,main
3.40.190.10,deepdta,random,cath_lso_test,Weak+,2657,0.483755325537,A,original,full,Original published evaluation,,A,main
1.10.510.10,deepdta,random,validation,High,16433,0.981834953236,A,original,full,Original published evaluation,,A,main
1.10.565.10,deepdta,random,validation,High,20827,0.973299661906,A,original,full,Original published evaluation,,A,main
1.10.1300.10,deepdta,random,validation,High,21895,0.979394379777,A,original,full,Original published evaluation,,A,main
1.20.920.10,deepdta,random,validation,High,21185,0.979955867836,A,original,full,Original published evaluation,,A,main
2.40.10.10,deepdta,random,validation,High,20971,0.980565010648,A,original,full,Original published evaluation,,A,main
2.40.70.10,deepdta,random,validation,High,20070,0.974511709699,A,original,full,Original published evaluation,,A,main
2.60.40.10,deepdta,random,validation,High,21211,0.981917198802,A,original,full,Original published evaluation,,A,main
3.10.200.10,deepdta,random,validation,High,16332,0.967722015066,A,original,full,Original published evaluation,,A,main
3.30.565.10,deepdta,random,validation,High,21557,0.965929055309,A,original,full,Original published evaluation,,A,main
3.40.190.10,deepdta,random,validation,High,21811,0.975676713754,A,original,full,Original published evaluation,,A,main
1.10.510.10,deepdta,random,cath_lso_test,High,109519,0.604750130215,A,original,full,Original published evaluation,,A,main
1.10.565.10,deepdta,random,cath_lso_test,High,22467,0.538889104149,A,original,full,Original published evaluation,,A,main
1.10.1300.10,deepdta,random,cath_lso_test,High,1108,0.612953041389,A,original,full,Original published evaluation,,A,main
1.20.920.10,deepdta,random,cath_lso_test,High,13728,0.644146172702,A,original,full,Original published evaluation,,A,main
2.40.10.10,deepdta,random,cath_lso_test,High,18140,0.619228137707,A,original,full,Original published evaluation,,A,main
2.40.70.10,deepdta,random,cath_lso_test,High,36510,0.574007686458,A,original,full,Original published evaluation,,A,main
2.60.40.10,deepdta,random,cath_lso_test,High,14709,0.559339015009,A,original,full,Original published evaluation,,A,main
3.10.200.10,deepdta,random,cath_lso_test,High,95479,0.508143960035,A,original,full,Original published evaluation,,A,main
3.30.565.10,deepdta,random,cath_lso_test,High,7882,0.545830331648,A,original,full,Original published evaluation,,A,main
3.40.190.10,deepdta,random,cath_lso_test,High,2657,0.646307530882,A,original,full,Original published evaluation,,A,main
1.10.510.10,transformerdta,random,validation,Weak+,16433,0.990230698332,B,original,full,Original published evaluation,,B,main
1.10.565.10,transformerdta,random,validation,Weak+,20827,0.991130739148,B,original,full,Original published evaluation,,B,main
1.10.1300.10,transformerdta,random,validation,Weak+,21895,0.991296307735,B,original,full,Original published evaluation,,B,main
1.20.920.10,transformerdta,random,validation,Weak+,21185,0.992403315008,B,original,full,Original published evaluation,,B,main
2.40.10.10,transformerdta,random,validation,Weak+,20971,0.991282034985,B,original,full,Original published evaluation,,B,main
2.40.70.10,transformerdta,random,validation,Weak+,20070,0.991346723792,B,original,full,Original published evaluation,,B,main
2.60.40.10,transformerdta,random,validation,Weak+,21211,0.992114792856,B,original,full,Original published evaluation,,B,main
3.10.200.10,transformerdta,random,validation,Weak+,16332,0.98875940683,B,original,full,Original published evaluation,,B,main
3.30.565.10,transformerdta,random,validation,Weak+,21557,0.99128489036,B,original,full,Original published evaluation,,B,main
3.40.190.10,transformerdta,random,validation,Weak+,21811,0.991613216541,B,original,full,Original published evaluation,,B,main
1.10.510.10,transformerdta,random,cath_lso_test,Weak+,109519,0.706241666045,B,original,full,Original published evaluation,,B,main
1.10.565.10,transformerdta,random,cath_lso_test,Weak+,22467,0.711210190141,B,original,full,Original published evaluation,,B,main
1.10.1300.10,transformerdta,random,cath_lso_test,Weak+,1108,0.604870374355,B,original,full,Original published evaluation,,B,main
1.20.920.10,transformerdta,random,cath_lso_test,Weak+,13728,0.624545008434,B,original,full,Original published evaluation,,B,main
2.40.10.10,transformerdta,random,cath_lso_test,Weak+,18140,0.717452546512,B,original,full,Original published evaluation,,B,main
2.40.70.10,transformerdta,random,cath_lso_test,Weak+,36510,0.751833809385,B,original,full,Original published evaluation,,B,main
2.60.40.10,transformerdta,random,cath_lso_test,Weak+,14709,0.66549570587,B,original,full,Original published evaluation,,B,main
3.10.200.10,transformerdta,random,cath_lso_test,Weak+,95479,0.632802621739,B,original,full,Original published evaluation,,B,main
3.30.565.10,transformerdta,random,cath_lso_test,Weak+,7882,0.529767544479,B,original,full,Original published evaluation,,B,main
3.40.190.10,transformerdta,random,cath_lso_test,Weak+,2657,0.542500318427,B,original,full,Original published evaluation,,B,main
1.10.510.10,transformerdta,random,validation,High,16433,0.991655585914,B,original,full,Original published evaluation,,B,main
1.10.565.10,transformerdta,random,validation,High,20827,0.991145085227,B,original,full,Original published evaluation,,B,main
1.10.1300.10,transformerdta,random,validation,High,21895,0.990520750915,B,original,full,Original published evaluation,,B,main
1.20.920.10,transformerdta,random,validation,High,21185,0.991441056816,B,original,full,Original published evaluation,,B,main
2.40.10.10,transformerdta,random,validation,High,20971,0.990909944032,B,original,full,Original published evaluation,,B,main
2.40.70.10,transformerdta,random,validation,High,20070,0.990362363724,B,original,full,Original published evaluation,,B,main
2.60.40.10,transformerdta,random,validation,High,21211,0.992125718202,B,original,full,Original published evaluation,,B,main
3.10.200.10,transformerdta,random,validation,High,16332,0.985528490847,B,original,full,Original published evaluation,,B,main
3.30.565.10,transformerdta,random,validation,High,21557,0.99051186156,B,original,full,Original published evaluation,,B,main
3.40.190.10,transformerdta,random,validation,High,21811,0.992084796387,B,original,full,Original published evaluation,,B,main
1.10.510.10,transformerdta,random,cath_lso_test,High,109519,0.609053268385,B,original,full,Original published evaluation,,B,main
1.10.565.10,transformerdta,random,cath_lso_test,High,22467,0.575773162791,B,original,full,Original published evaluation,,B,main
1.10.1300.10,transformerdta,random,cath_lso_test,High,1108,0.552907202628,B,original,full,Original published evaluation,,B,main
1.20.920.10,transformerdta,random,cath_lso_test,High,13728,0.677840123319,B,original,full,Original published evaluation,,B,main
2.40.10.10,transformerdta,random,cath_lso_test,High,18140,0.688858427226,B,original,full,Original published evaluation,,B,main
2.40.70.10,transformerdta,random,cath_lso_test,High,36510,0.67373887594,B,original,full,Original published evaluation,,B,main
2.60.40.10,transformerdta,random,cath_lso_test,High,14709,0.586850717397,B,original,full,Original published evaluation,,B,main
3.10.200.10,transformerdta,random,cath_lso_test,High,95479,0.536803487119,B,original,full,Original published evaluation,,B,main
3.30.565.10,transformerdta,random,cath_lso_test,High,7882,0.565898492843,B,original,full,Original published evaluation,,B,main
3.40.190.10,transformerdta,random,cath_lso_test,High,2657,0.536421519531,B,original,full,Original published evaluation,,B,main
1.10.510.10,ligand_lookup,random,validation,Weak+,16433,0.969048143588,C,original,full,Original published evaluation,,C,main
1.10.565.10,ligand_lookup,random,validation,Weak+,20827,0.97032451089,C,original,full,Original published evaluation,,C,main
1.10.1300.10,ligand_lookup,random,validation,Weak+,21895,0.969939790293,C,original,full,Original published evaluation,,C,main
1.20.920.10,ligand_lookup,random,validation,Weak+,21185,0.972188444455,C,original,full,Original published evaluation,,C,main
2.40.10.10,ligand_lookup,random,validation,Weak+,20971,0.971728653376,C,original,full,Original published evaluation,,C,main
2.40.70.10,ligand_lookup,random,validation,Weak+,20070,0.969154619184,C,original,full,Original published evaluation,,C,main
2.60.40.10,ligand_lookup,random,validation,Weak+,21211,0.969776692831,C,original,full,Original published evaluation,,C,main
3.10.200.10,ligand_lookup,random,validation,Weak+,16332,0.9606264506,C,original,full,Original published evaluation,,C,main
3.30.565.10,ligand_lookup,random,validation,Weak+,21557,0.968588893539,C,original,full,Original published evaluation,,C,main
3.40.190.10,ligand_lookup,random,validation,Weak+,21811,0.966809373284,C,original,full,Original published evaluation,,C,main
1.10.510.10,ligand_lookup,random,cath_lso_test,Weak+,109519,0.501000909472,C,original,full,Original published evaluation,,C,main
1.10.565.10,ligand_lookup,random,cath_lso_test,Weak+,22467,0.506666375184,C,original,full,Original published evaluation,,C,main
1.10.1300.10,ligand_lookup,random,cath_lso_test,Weak+,1108,0.513392857143,C,original,full,Original published evaluation,,C,main
1.20.920.10,ligand_lookup,random,cath_lso_test,Weak+,13728,0.492786864724,C,original,full,Original published evaluation,,C,main
