cath,model,development,evaluation,threshold,n,value,extended_panel,configuration,cohort,operation,method,panel,figure_role
1.10.510.10,deepdta,composite,validation,Weak+,16433,0.941255882146,D,original,full,Original published evaluation,,A,SI
1.10.565.10,deepdta,composite,validation,Weak+,20827,0.950722222574,D,original,full,Original published evaluation,,A,SI
1.10.1300.10,deepdta,composite,validation,Weak+,21895,0.94194414582,D,original,full,Original published evaluation,,A,SI
1.20.920.10,deepdta,composite,validation,Weak+,21185,0.957482661702,D,original,full,Original published evaluation,,A,SI
2.40.10.10,deepdta,composite,validation,Weak+,20971,0.951373241158,D,original,full,Original published evaluation,,A,SI
2.40.70.10,deepdta,composite,validation,Weak+,20070,0.945517074377,D,original,full,Original published evaluation,,A,SI
2.60.40.10,deepdta,composite,validation,Weak+,21211,0.948845198533,D,original,full,Original published evaluation,,A,SI
3.10.200.10,deepdta,composite,validation,Weak+,16332,0.935536869131,D,original,full,Original published evaluation,,A,SI
3.30.565.10,deepdta,composite,validation,Weak+,21557,0.947878966578,D,original,full,Original published evaluation,,A,SI
3.40.190.10,deepdta,composite,validation,Weak+,21811,0.943730537335,D,original,full,Original published evaluation,,A,SI
1.10.510.10,deepdta,composite,cath_lso_test,Weak+,109519,0.654933162047,D,original,full,Original published evaluation,,A,SI
1.10.565.10,deepdta,composite,cath_lso_test,Weak+,22467,0.644164639149,D,original,full,Original published evaluation,,A,SI
1.10.1300.10,deepdta,composite,cath_lso_test,Weak+,1108,0.761640311245,D,original,full,Original published evaluation,,A,SI
1.20.920.10,deepdta,composite,cath_lso_test,Weak+,13728,0.648471959813,D,original,full,Original published evaluation,,A,SI
2.40.10.10,deepdta,composite,cath_lso_test,Weak+,18140,0.682561069727,D,original,full,Original published evaluation,,A,SI
2.40.70.10,deepdta,composite,cath_lso_test,Weak+,36510,0.757027647533,D,original,full,Original published evaluation,,A,SI
2.60.40.10,deepdta,composite,cath_lso_test,Weak+,14709,0.648945579774,D,original,full,Original published evaluation,,A,SI
3.10.200.10,deepdta,composite,cath_lso_test,Weak+,95479,0.628315140114,D,original,full,Original published evaluation,,A,SI
3.30.565.10,deepdta,composite,cath_lso_test,Weak+,7882,0.643909118187,D,original,full,Original published evaluation,,A,SI
3.40.190.10,deepdta,composite,cath_lso_test,Weak+,2657,0.508856832414,D,original,full,Original published evaluation,,A,SI
1.10.510.10,deepdta,composite,validation,High,16433,0.936571943393,D,original,full,Original published evaluation,,A,SI
1.10.565.10,deepdta,composite,validation,High,20827,0.941186846637,D,original,full,Original published evaluation,,A,SI
1.10.1300.10,deepdta,composite,validation,High,21895,0.930401286452,D,original,full,Original published evaluation,,A,SI
1.20.920.10,deepdta,composite,validation,High,21185,0.938218183995,D,original,full,Original published evaluation,,A,SI
2.40.10.10,deepdta,composite,validation,High,20971,0.933222921754,D,original,full,Original published evaluation,,A,SI
2.40.70.10,deepdta,composite,validation,High,20070,0.929632344085,D,original,full,Original published evaluation,,A,SI
2.60.40.10,deepdta,composite,validation,High,21211,0.933988287691,D,original,full,Original published evaluation,,A,SI
3.10.200.10,deepdta,composite,validation,High,16332,0.923735933342,D,original,full,Original published evaluation,,A,SI
3.30.565.10,deepdta,composite,validation,High,21557,0.94036247309,D,original,full,Original published evaluation,,A,SI
3.40.190.10,deepdta,composite,validation,High,21811,0.922961989398,D,original,full,Original published evaluation,,A,SI
1.10.510.10,deepdta,composite,cath_lso_test,High,109519,0.601555734028,D,original,full,Original published evaluation,,A,SI
1.10.565.10,deepdta,composite,cath_lso_test,High,22467,0.571403484684,D,original,full,Original published evaluation,,A,SI
1.10.1300.10,deepdta,composite,cath_lso_test,High,1108,0.610760681835,D,original,full,Original published evaluation,,A,SI
1.20.920.10,deepdta,composite,cath_lso_test,High,13728,0.641943124683,D,original,full,Original published evaluation,,A,SI
2.40.10.10,deepdta,composite,cath_lso_test,High,18140,0.641731253447,D,original,full,Original published evaluation,,A,SI
2.40.70.10,deepdta,composite,cath_lso_test,High,36510,0.626483910262,D,original,full,Original published evaluation,,A,SI
2.60.40.10,deepdta,composite,cath_lso_test,High,14709,0.547320840342,D,original,full,Original published evaluation,,A,SI
3.10.200.10,deepdta,composite,cath_lso_test,High,95479,0.551585568943,D,original,full,Original published evaluation,,A,SI
3.30.565.10,deepdta,composite,cath_lso_test,High,7882,0.522465323573,D,original,full,Original published evaluation,,A,SI
3.40.190.10,deepdta,composite,cath_lso_test,High,2657,0.591974531406,D,original,full,Original published evaluation,,A,SI
1.10.510.10,transformerdta,composite,validation,Weak+,16433,0.965197553946,E,original,full,Original published evaluation,,B,SI
1.10.565.10,transformerdta,composite,validation,Weak+,20827,0.971674313082,E,original,full,Original published evaluation,,B,SI
1.10.1300.10,transformerdta,composite,validation,Weak+,21895,0.973328462572,E,original,full,Original published evaluation,,B,SI
1.20.920.10,transformerdta,composite,validation,Weak+,21185,0.970383158125,E,original,full,Original published evaluation,,B,SI
2.40.10.10,transformerdta,composite,validation,Weak+,20971,0.970241734064,E,original,full,Original published evaluation,,B,SI
2.40.70.10,transformerdta,composite,validation,Weak+,20070,0.968022481076,E,original,full,Original published evaluation,,B,SI
2.60.40.10,transformerdta,composite,validation,Weak+,21211,0.969273375363,E,original,full,Original published evaluation,,B,SI
3.10.200.10,transformerdta,composite,validation,Weak+,16332,0.960481001536,E,original,full,Original published evaluation,,B,SI
3.30.565.10,transformerdta,composite,validation,Weak+,21557,0.964718344514,E,original,full,Original published evaluation,,B,SI
3.40.190.10,transformerdta,composite,validation,Weak+,21811,0.969682291631,E,original,full,Original published evaluation,,B,SI
1.10.510.10,transformerdta,composite,cath_lso_test,Weak+,109519,0.654949951291,E,original,full,Original published evaluation,,B,SI
1.10.565.10,transformerdta,composite,cath_lso_test,Weak+,22467,0.680167630273,E,original,full,Original published evaluation,,B,SI
1.10.1300.10,transformerdta,composite,cath_lso_test,Weak+,1108,0.57529224039,E,original,full,Original published evaluation,,B,SI
1.20.920.10,transformerdta,composite,cath_lso_test,Weak+,13728,0.656537590996,E,original,full,Original published evaluation,,B,SI
2.40.10.10,transformerdta,composite,cath_lso_test,Weak+,18140,0.714306811129,E,original,full,Original published evaluation,,B,SI
2.40.70.10,transformerdta,composite,cath_lso_test,Weak+,36510,0.713245441168,E,original,full,Original published evaluation,,B,SI
2.60.40.10,transformerdta,composite,cath_lso_test,Weak+,14709,0.694385613549,E,original,full,Original published evaluation,,B,SI
3.10.200.10,transformerdta,composite,cath_lso_test,Weak+,95479,0.63378992885,E,original,full,Original published evaluation,,B,SI
3.30.565.10,transformerdta,composite,cath_lso_test,Weak+,7882,0.590297850184,E,original,full,Original published evaluation,,B,SI
3.40.190.10,transformerdta,composite,cath_lso_test,Weak+,2657,0.498007553879,E,original,full,Original published evaluation,,B,SI
1.10.510.10,transformerdta,composite,validation,High,16433,0.97130174073,E,original,full,Original published evaluation,,B,SI
1.10.565.10,transformerdta,composite,validation,High,20827,0.97232525061,E,original,full,Original published evaluation,,B,SI
1.10.1300.10,transformerdta,composite,validation,High,21895,0.973204937992,E,original,full,Original published evaluation,,B,SI
1.20.920.10,transformerdta,composite,validation,High,21185,0.967661578177,E,original,full,Original published evaluation,,B,SI
2.40.10.10,transformerdta,composite,validation,High,20971,0.973517475345,E,original,full,Original published evaluation,,B,SI
2.40.70.10,transformerdta,composite,validation,High,20070,0.968841922309,E,original,full,Original published evaluation,,B,SI
2.60.40.10,transformerdta,composite,validation,High,21211,0.97194971947,E,original,full,Original published evaluation,,B,SI
3.10.200.10,transformerdta,composite,validation,High,16332,0.962741892914,E,original,full,Original published evaluation,,B,SI
3.30.565.10,transformerdta,composite,validation,High,21557,0.96992999027,E,original,full,Original published evaluation,,B,SI
3.40.190.10,transformerdta,composite,validation,High,21811,0.971989291493,E,original,full,Original published evaluation,,B,SI
1.10.510.10,transformerdta,composite,cath_lso_test,High,109519,0.607544087847,E,original,full,Original published evaluation,,B,SI
1.10.565.10,transformerdta,composite,cath_lso_test,High,22467,0.563219294219,E,original,full,Original published evaluation,,B,SI
1.10.1300.10,transformerdta,composite,cath_lso_test,High,1108,0.484531050537,E,original,full,Original published evaluation,,B,SI
1.20.920.10,transformerdta,composite,cath_lso_test,High,13728,0.698124182091,E,original,full,Original published evaluation,,B,SI
2.40.10.10,transformerdta,composite,cath_lso_test,High,18140,0.693473164911,E,original,full,Original published evaluation,,B,SI
2.40.70.10,transformerdta,composite,cath_lso_test,High,36510,0.649977682388,E,original,full,Original published evaluation,,B,SI
2.60.40.10,transformerdta,composite,cath_lso_test,High,14709,0.605526622938,E,original,full,Original published evaluation,,B,SI
3.10.200.10,transformerdta,composite,cath_lso_test,High,95479,0.523524347371,E,original,full,Original published evaluation,,B,SI
3.30.565.10,transformerdta,composite,cath_lso_test,High,7882,0.578528753423,E,original,full,Original published evaluation,,B,SI
3.40.190.10,transformerdta,composite,cath_lso_test,High,2657,0.575495302141,E,original,full,Original published evaluation,,B,SI
1.10.510.10,ligand_lookup,composite,validation,Weak+,16433,0.911542927009,F,original,full,Original published evaluation,,C,SI
1.10.565.10,ligand_lookup,composite,validation,Weak+,20827,0.927542529597,F,original,full,Original published evaluation,,C,SI
1.10.1300.10,ligand_lookup,composite,validation,Weak+,21895,0.923349563132,F,original,full,Original published evaluation,,C,SI
1.20.920.10,ligand_lookup,composite,validation,Weak+,21185,0.923409512338,F,original,full,Original published evaluation,,C,SI
2.40.10.10,ligand_lookup,composite,validation,Weak+,20971,0.926431419976,F,original,full,Original published evaluation,,C,SI
2.40.70.10,ligand_lookup,composite,validation,Weak+,20070,0.922912339862,F,original,full,Original published evaluation,,C,SI
2.60.40.10,ligand_lookup,composite,validation,Weak+,21211,0.922391968526,F,original,full,Original published evaluation,,C,SI
3.10.200.10,ligand_lookup,composite,validation,Weak+,16332,0.914934384266,F,original,full,Original published evaluation,,C,SI
3.30.565.10,ligand_lookup,composite,validation,Weak+,21557,0.915682157296,F,original,full,Original published evaluation,,C,SI
3.40.190.10,ligand_lookup,composite,validation,Weak+,21811,0.921812509567,F,original,full,Original published evaluation,,C,SI
1.10.510.10,ligand_lookup,composite,cath_lso_test,Weak+,109519,0.499843638073,F,original,full,Original published evaluation,,C,SI
1.10.565.10,ligand_lookup,composite,cath_lso_test,Weak+,22467,0.5066887186,F,original,full,Original published evaluation,,C,SI
1.10.1300.10,ligand_lookup,composite,cath_lso_test,Weak+,1108,0.513392857143,F,original,full,Original published evaluation,,C,SI
1.20.920.10,ligand_lookup,composite,cath_lso_test,Weak+,13728,0.491592418942,F,original,full,Original published evaluation,,C,SI
2.40.10.10,ligand_lookup,composite,cath_lso_test,Weak+,18140,0.512349441613,F,original,full,Original published evaluation,,C,SI
2.40.70.10,ligand_lookup,composite,cath_lso_test,Weak+,36510,0.502948221829,F,original,full,Original published evaluation,,C,SI
2.60.40.10,ligand_lookup,composite,cath_lso_test,Weak+,14709,0.46741214741,F,original,full,Original published evaluation,,C,SI
3.10.200.10,ligand_lookup,composite,cath_lso_test,Weak+,95479,0.500725387098,F,original,full,Original published evaluation,,C,SI
3.30.565.10,ligand_lookup,composite,cath_lso_test,Weak+,7882,0.51779582039,F,original,full,Original published evaluation,,C,SI
3.40.190.10,ligand_lookup,composite,cath_lso_test,Weak+,2657,0.508982903695,F,original,full,Original published evaluation,,C,SI
1.10.510.10,ligand_lookup,composite,validation,High,16433,0.938282464717,F,original,full,Original published evaluation,,C,SI
1.10.565.10,ligand_lookup,composite,validation,High,20827,0.942273691687,F,original,full,Original published evaluation,,C,SI
