cath,model,development,evaluation,threshold,n,positives,positive_fraction,auc,auc_from_logits,average_precision,brier,ece,bce,ordinal_violation_fraction,world_size,optimizer_batch
1.10.1300.10,deepdta,composite,validation,Weak+,21895,19619,0.8960493263302124,0.9419441458196929,0.941944145819693,0.9921591736961081,0.05039059054523514,0.024995636975171792,0.1804453778882211,0.0,8,65536
1.10.1300.10,deepdta,composite,validation,High,21895,10949,0.5000685087919616,0.9304012864521434,0.9304012864521434,0.9308710029344296,0.1060731821921444,0.03110693398609008,0.3474339002765333,0.0,8,65536
1.10.1300.10,deepdta,composite,cath_lso_test,Weak+,1108,996,0.8989169675090253,0.7616403112449799,0.7616403112449799,0.9588572349048415,0.10088313747871372,0.08770307504474473,0.34431113340972735,0.0,8,65536
1.10.1300.10,deepdta,composite,cath_lso_test,High,1108,579,0.5225631768953068,0.6107606818352482,0.6107606818352482,0.6355173860670003,0.3529951860190353,0.3181396291306177,1.2211807843936913,0.0,8,65536
1.10.1300.10,deepdta,random,validation,Weak+,21895,20300,0.9271523178807947,0.981346402705499,0.981398489738561,0.998202335878858,0.019817490186069268,0.010497828633838985,0.082045374551374,0.0,8,65536
1.10.1300.10,deepdta,random,validation,High,21895,12133,0.5541447819136789,0.979394379776976,0.979394379776976,0.9830276439280098,0.05313973035224164,0.016909303578466227,0.19190454418438355,0.0,8,65536
1.10.1300.10,deepdta,random,cath_lso_test,Weak+,1108,996,0.8989169675090253,0.6638249426276535,0.6638249426276535,0.9291127363575356,0.18565427357860703,0.20032052044961823,0.7779343256215306,0.0,8,65536
1.10.1300.10,deepdta,random,cath_lso_test,High,1108,579,0.5225631768953068,0.6129530413887447,0.6129530413887447,0.6093022639847339,0.39948785697561706,0.3715050078022627,1.8366130443067026,0.0,8,65536
1.10.1300.10,transformerdta,composite,validation,Weak+,21895,19619,0.8960493263302124,0.9733284625722831,0.9733284625722833,0.9966020983287482,0.034619786570201753,0.017922771603743545,0.1338902972583227,0.001552865951130395,4,4096
1.10.1300.10,transformerdta,composite,validation,High,21895,10949,0.5000685087919616,0.9732049379915789,0.9732048211767073,0.9741242877033754,0.06399436311844539,0.031391089677262105,0.24395219073071472,0.001552865951130395,4,4096
1.10.1300.10,transformerdta,composite,cath_lso_test,Weak+,1108,996,0.8989169675090253,0.575292240390132,0.575292240390132,0.9190763504161794,0.11013582945072974,0.10424940152146578,0.4876901044768598,0.002707581227436823,4,4096
1.10.1300.10,transformerdta,composite,cath_lso_test,High,1108,579,0.5225631768953068,0.4845310505369077,0.4845310505369077,0.5456259890329436,0.40155605159794033,0.3548246898414433,1.7432432818777437,0.002707581227436823,4,4096
1.10.1300.10,transformerdta,random,validation,Weak+,21895,20300,0.9271523178807947,0.9912963077350712,0.9912989638185834,0.9992361953510215,0.014489220094443481,0.007229484628745186,0.05701063236027882,0.002511989038593286,8,8192
1.10.1300.10,transformerdta,random,validation,High,21895,12133,0.5541447819136789,0.9905207509145418,0.9905217556227734,0.9922677474254575,0.03573576565666634,0.012085915740229058,0.13050127387856836,0.002511989038593286,8,8192
1.10.1300.10,transformerdta,random,cath_lso_test,Weak+,1108,996,0.8989169675090253,0.6048703743545611,0.6048703743545611,0.9239631130888906,0.09477246429300157,0.07863491099993519,0.4986268907328443,0.0,8,8192
1.10.1300.10,transformerdta,random,cath_lso_test,High,1108,579,0.5225631768953068,0.5529072026275665,0.5529072026275665,0.6031160599911389,0.3719296931308872,0.3237626792993883,1.4765799952095822,0.0,8,8192
1.10.510.10,deepdta,composite,validation,Weak+,16433,14366,0.8742165155479827,0.9412558821455351,0.941255882145535,0.9905261158405954,0.058508342573195676,0.025799095382761067,0.2013196308248501,0.0,8,65536
1.10.510.10,deepdta,composite,validation,High,16433,8040,0.48925941702671455,0.9365719433927706,0.9365719433927706,0.9355669478157158,0.0996424964455038,0.03368530667136881,0.33553916632201236,0.0,8,65536
1.10.510.10,deepdta,composite,cath_lso_test,Weak+,109519,103501,0.9450506304842082,0.6549331620472412,0.6549331620472412,0.9639586224865857,0.09257867642520932,0.10196315665152245,0.33815266539377264,0.0,8,65536
1.10.510.10,deepdta,composite,cath_lso_test,High,109519,62089,0.5669244605958783,0.601555734027946,0.601555734027946,0.6492767832040653,0.35889187356576696,0.31386500828428143,1.264770563250987,0.0,8,65536
1.10.510.10,deepdta,random,validation,Weak+,16433,15079,0.9176048195703767,0.9825157910337903,0.9825157910337903,0.9982837459411982,0.022841736237415897,0.010433457666744382,0.08767216528291688,0.0,8,65536
1.10.510.10,deepdta,random,validation,High,16433,9062,0.5514513478975233,0.9818349532356742,0.981834953235674,0.9848774881375931,0.04942057481608043,0.014687874704170349,0.1780246032337824,0.0,8,65536
1.10.510.10,deepdta,random,cath_lso_test,Weak+,109519,103501,0.9450506304842082,0.6669799781243896,0.6669798962452167,0.9639914757658502,0.081080816453824,0.0832325215609866,0.3511444467309873,0.0,8,65536
1.10.510.10,deepdta,random,cath_lso_test,High,109519,62089,0.5669244605958783,0.604750130214927,0.604750130214927,0.6438126579192669,0.37828498048481435,0.34509667885678397,1.5627228934254258,0.0,8,65536
1.10.510.10,transformerdta,composite,validation,Weak+,16433,14366,0.8742165155479827,0.9651975539461455,0.9651975539461453,0.9945438300192028,0.04492083343360471,0.02058383380351656,0.16437011842092444,0.0008519442585042293,4,4096
1.10.510.10,transformerdta,composite,validation,High,16433,8040,0.48925941702671455,0.9713017407304001,0.9713017407304002,0.9718356889997078,0.06697468389545923,0.029446664626428698,0.2409751858750077,0.0008519442585042293,4,4096
1.10.510.10,transformerdta,composite,cath_lso_test,Weak+,109519,103501,0.9450506304842082,0.6549499512913645,0.6549499512913644,0.9652568890671552,0.06998566675721979,0.06387693070196926,0.3352158235780549,9.130835745395776e-06,4,4096
1.10.510.10,transformerdta,composite,cath_lso_test,High,109519,62089,0.5669244605958783,0.6075440878470458,0.6075440878470458,0.6462332119941425,0.36896977795429786,0.33726881668185416,1.5716389691807775,9.130835745395776e-06,4,4096
1.10.510.10,transformerdta,random,validation,Weak+,16433,15079,0.9176048195703767,0.9902306983319656,0.9902306983319658,0.9990491066383782,0.017050283704897556,0.008803826140909063,0.06506656575098921,0.008032617294468448,8,8192
1.10.510.10,transformerdta,random,validation,High,16433,9062,0.5514513478975233,0.9916555859136599,0.9916552415816744,0.9932428068027065,0.03510562834215442,0.015288719007132821,0.12456506591197664,0.008032617294468448,8,8192
1.10.510.10,transformerdta,random,cath_lso_test,Weak+,109519,103501,0.9450506304842082,0.7062416660447862,0.7062414814152789,0.9714946214915426,0.058660783633422295,0.04945688078360204,0.3238502045412979,1.8261671490791553e-05,8,8192
1.10.510.10,transformerdta,random,cath_lso_test,High,109519,62089,0.5669244605958783,0.609053268385248,0.6090532666873867,0.6397590603913104,0.3493619118116162,0.31245610848930017,1.560219487848113,1.8261671490791553e-05,8,8192
1.10.565.10,deepdta,composite,validation,Weak+,20827,18522,0.8893263552119844,0.950722222573566,0.9507073958599037,0.9927485035945841,0.04777643787426397,0.026376765230074838,0.1763922766485075,0.0,8,65536
1.10.565.10,deepdta,composite,validation,High,20827,10315,0.4952705622509243,0.9411868466368746,0.9411868466368746,0.9405757914098092,0.09826826931568644,0.0407206794261967,0.3322936577469388,0.0,8,65536
1.10.565.10,deepdta,composite,cath_lso_test,Weak+,22467,21752,0.968175546356879,0.6441646391490083,0.6441646391490083,0.9796226146661521,0.06463971358665901,0.06802124972925698,0.24252631188134444,0.0,8,65536
1.10.565.10,deepdta,composite,cath_lso_test,High,22467,13967,0.6216673343125473,0.5714034846844873,0.5714034846844873,0.6790807367564096,0.3788478256350673,0.3432931570924929,1.3234614748904385,0.0,8,65536
1.10.565.10,deepdta,random,validation,Weak+,20827,19184,0.9211120180534883,0.9815573385611971,0.9815330042736974,0.9981323882626283,0.021558142679742202,0.006520860112294496,0.0810276821053504,0.0,8,65536
1.10.565.10,deepdta,random,validation,High,20827,11559,0.5550007202189465,0.97329966190608,0.97329966190608,0.9777798906260753,0.06287133046275663,0.015883035378926883,0.2122659757998056,0.0,8,65536
1.10.565.10,deepdta,random,cath_lso_test,Weak+,22467,21752,0.968175546356879,0.6501109455090698,0.6501108169138695,0.9802557543228979,0.07469391567074506,0.08870918698146342,0.2742075452960499,0.0,8,65536
1.10.565.10,deepdta,random,cath_lso_test,High,22467,13967,0.6216673343125473,0.538889104148855,0.538889104148855,0.6440288377455784,0.4204012771196862,0.39285885628479283,1.5522578663320088,0.0,8,65536
1.10.565.10,transformerdta,composite,validation,Weak+,20827,18522,0.8893263552119844,0.9716743130816353,0.9716923253135569,0.9959047021659307,0.03507798926799724,0.019167471615491552,0.13914797014818542,0.00033610217506121863,4,4096
