cath,model,development,evaluation,threshold,n,positives,positive_fraction,auc,average_precision,brier,ece
1.10.1300.10,ligand_lookup,composite,cath_lso_test,High,1108,579,0.522563176895307,0.502835538752363,0.523981900452489,0.249969156146226,0.0348758304722194
1.10.1300.10,ligand_lookup,composite,cath_lso_test,Weak+,1108,996,0.898916967509025,0.513392857142857,0.901357466063348,0.0893710186562489,0.0247480869657116
1.10.1300.10,ligand_lookup,composite,validation,High,21895,10949,0.500068508791962,0.944727687596048,0.920804952898997,0.0876362247693751,0.0421716789147822
1.10.1300.10,ligand_lookup,composite,validation,Weak+,21895,19619,0.896049326330212,0.92334956313197,0.983458370987895,0.0464633306495408,0.0286882898580214
1.10.1300.10,ligand_lookup,random,cath_lso_test,High,1108,579,0.522563176895307,0.502835538752363,0.523981900452489,0.249763441789694,0.0317988393329705
1.10.1300.10,ligand_lookup,random,cath_lso_test,Weak+,1108,996,0.898916967509025,0.513392857142857,0.901357466063348,0.0892906613104259,0.0230500840404237
1.10.1300.10,ligand_lookup,random,validation,High,21895,12133,0.554144781913679,0.97340478210386,0.967598930753145,0.0556229376747312,0.0149949093058472
1.10.1300.10,ligand_lookup,random,validation,Weak+,21895,20300,0.927152317880795,0.969939790292941,0.995635284759874,0.0202099434796501,0.00761115521580016
1.10.510.10,ligand_lookup,composite,cath_lso_test,High,109519,62089,0.566924460595878,0.516493181574006,0.575413143714453,0.246776665517201,0.0272498255413183
1.10.510.10,ligand_lookup,composite,cath_lso_test,Weak+,109519,103501,0.945050630484208,0.499843638072877,0.945053853843585,0.0538364291004844,0.02508373998072
1.10.510.10,ligand_lookup,composite,validation,High,16433,8040,0.489259417026715,0.938282464716807,0.910308589055802,0.0940511566087939,0.0529978215816682
1.10.510.10,ligand_lookup,composite,validation,Weak+,16433,14366,0.874216515547983,0.911542927008557,0.976728155532944,0.0576668848519998,0.0375743077600725
1.10.510.10,ligand_lookup,random,cath_lso_test,High,109519,62089,0.566924460595878,0.516196998156058,0.57528001510591,0.246982362892715,0.0306561772287367
1.10.510.10,ligand_lookup,random,cath_lso_test,Weak+,109519,103501,0.945050630484208,0.50100090947211,0.945172841422823,0.0535794431484828,0.0271775691345931
1.10.510.10,ligand_lookup,random,validation,High,16433,9062,0.551451347897523,0.975461405609276,0.969265121610853,0.054008568285423,0.0180873301918891
1.10.510.10,ligand_lookup,random,validation,Weak+,16433,15079,0.917604819570377,0.969048143588034,0.994864714626304,0.0220742640830018,0.00989814785708804
1.10.565.10,ligand_lookup,composite,cath_lso_test,High,22467,13967,0.621667334312547,0.5035291464334,0.623272299005138,0.239989761795918,0.0699813724269002
1.10.565.10,ligand_lookup,composite,cath_lso_test,Weak+,22467,21752,0.968175546356879,0.506688718600267,0.968621779515576,0.0332028948719482,0.0460669860833174
1.10.565.10,ligand_lookup,composite,validation,High,20827,10315,0.495270562250924,0.942273691687491,0.916714255587973,0.0897870700500332,0.0441582300396522
1.10.565.10,ligand_lookup,composite,validation,Weak+,20827,18522,0.889326355211984,0.927542529596627,0.983352247449814,0.0482049566459661,0.030086233404036
1.10.565.10,ligand_lookup,random,cath_lso_test,High,22467,13967,0.621667334312547,0.503894035941863,0.623438721248074,0.240394639599329,0.0732883213962761
1.10.565.10,ligand_lookup,random,cath_lso_test,Weak+,22467,21752,0.968175546356879,0.506666375184213,0.968628448179859,0.0333345622809845,0.047670810465902
1.10.565.10,ligand_lookup,random,validation,High,20827,11559,0.555000720218947,0.975280342882921,0.969772625586447,0.0531707395740193,0.015159164921681
1.10.565.10,ligand_lookup,random,validation,Weak+,20827,19184,0.921112018053488,0.970324510890339,0.995400974963578,0.0215689097150362,0.00982025835465501
1.20.920.10,ligand_lookup,composite,cath_lso_test,High,13728,2932,0.213578088578089,0.502328498706256,0.214384189501022,0.297132478746247,0.358072708506341
