cath_id,method,partition,identity,threshold,n,positives,coverage,auc,fallback,n_train,n_train_identities
1.10.1300.10,composite_scaffold,validation,smiles,5,21895,19619,0.7384791048184517,0.9233495631319698,0.925871083280249,416005,115310
1.10.1300.10,composite_scaffold,validation,smiles,7,21895,10949,0.7384791048184517,0.944727687596048,0.5589524164373024,416005,115310
1.10.1300.10,composite_scaffold,cath_lso_test,smiles,5,1108,996,0.0027075812274368,0.5133928571428572,0.925871083280249,416005,115310
1.10.1300.10,composite_scaffold,cath_lso_test,smiles,7,1108,579,0.0027075812274368,0.502835538752363,0.5589524164373024,416005,115310
1.10.1300.10,random,validation,smiles,5,21895,20300,0.8513815939712263,0.9699397902929412,0.924168470392268,413034,117539
1.10.1300.10,random,validation,smiles,7,21895,12133,0.8513815939712263,0.9734047821038602,0.5558670714759559,413034,117539
1.10.1300.10,random,cath_lso_test,smiles,5,1108,996,0.0027075812274368,0.5133928571428572,0.924168470392268,413034,117539
1.10.1300.10,random,cath_lso_test,smiles,7,1108,579,0.0027075812274368,0.502835538752363,0.5558670714759559,413034,117539
1.10.510.10,composite_scaffold,validation,smiles,5,16433,14366,0.7108866305604576,0.9115429270085572,0.9199326098932776,312212,83753
1.10.510.10,composite_scaffold,validation,smiles,7,16433,8040,0.7108866305604576,0.9382824647168068,0.5559459597965485,312212,83753
1.10.510.10,composite_scaffold,cath_lso_test,smiles,5,109519,103501,0.036751613875218,0.4998436380728766,0.9199326098932776,312212,83753
1.10.510.10,composite_scaffold,cath_lso_test,smiles,7,109519,62089,0.036751613875218,0.5164931815740063,0.5559459597965485,312212,83753
1.10.510.10,random,validation,smiles,5,16433,15079,0.8490233067607862,0.9690481435880336,0.9174969450496874,309334,85835
1.10.510.10,random,validation,smiles,7,16433,9062,0.8490233067607862,0.975461405609276,0.5521313531651871,309334,85835
1.10.510.10,random,cath_lso_test,smiles,5,109519,103501,0.0364229037883837,0.50100090947211,0.9174969450496874,309334,85835
1.10.510.10,random,cath_lso_test,smiles,7,109519,62089,0.0364229037883837,0.5161969981560581,0.5521313531651871,309334,85835
1.10.565.10,composite_scaffold,validation,smiles,5,20827,18522,0.7389926537667451,0.9275425295966266,0.9236692341905224,395712,106296
1.10.565.10,composite_scaffold,validation,smiles,7,20827,10315,0.7389926537667451,0.9422736916874908,0.5553887675885493,395712,106296
1.10.565.10,composite_scaffold,cath_lso_test,smiles,5,22467,21752,0.007611163039124,0.506688718600267,0.9236692341905224,395712,106296
1.10.565.10,composite_scaffold,cath_lso_test,smiles,7,22467,13967,0.007611163039124,0.5035291464333997,0.5553887675885493,395712,106296
1.10.565.10,random,validation,smiles,5,20827,19184,0.8628703125750228,0.9703245108903392,0.9219416536144962,392655,108604
1.10.565.10,random,validation,smiles,7,20827,11559,0.8628703125750228,0.9752803428829212,0.5519450917472081,392655,108604
1.10.565.10,random,cath_lso_test,smiles,5,22467,21752,0.007744692215249,0.5066663751842126,0.9219416536144962,392655,108604
1.10.565.10,random,cath_lso_test,smiles,7,22467,13967,0.007744692215249,0.503894035941863,0.5519450917472081,392655,108604
1.20.920.10,composite_scaffold,validation,smiles,5,21185,19025,0.7333018645267878,0.9234095123375676,0.9272804064545782,402505,112370
1.20.920.10,composite_scaffold,validation,smiles,7,21185,10763,0.7333018645267878,0.9405833690062332,0.5716326505260804,402505,112370
1.20.920.10,composite_scaffold,cath_lso_test,smiles,5,13728,12054,0.0088141025641025,0.4915924189415254,0.9272804064545782,402505,112370
1.20.920.10,composite_scaffold,cath_lso_test,smiles,7,13728,2932,0.0088141025641025,0.5023284987062562,0.5716326505260804,402505,112370
1.20.920.10,random,validation,smiles,5,21185,19632,0.8525843757375502,0.9721884444545904,0.9257912868998266,399697,114636
1.20.920.10,random,validation,smiles,7,21185,11966,0.8525843757375502,0.9747475750117252,0.5683630349990118,399697,114636
1.20.920.10,random,cath_lso_test,smiles,5,13728,12054,0.0085227272727272,0.4927868647240345,0.9257912868998266,399697,114636
1.20.920.10,random,cath_lso_test,smiles,7,13728,2932,0.0085227272727272,0.5022364562540721,0.5683630349990118,399697,114636
2.40.10.10,composite_scaffold,validation,smiles,5,20971,18806,0.738114539125459,0.9264314199757878,0.9287336647852046,398449,110717
2.40.10.10,composite_scaffold,validation,smiles,7,20971,10409,0.738114539125459,0.9442518062921276,0.5614419913213485,398449,110717
2.40.10.10,composite_scaffold,cath_lso_test,smiles,5,18140,15645,0.0359426681367144,0.5123494416125314,0.9287336647852046,398449,110717
2.40.10.10,composite_scaffold,cath_lso_test,smiles,7,18140,9114,0.0359426681367144,0.5146643147942007,0.5614419913213485,398449,110717
2.40.10.10,random,validation,smiles,5,20971,19508,0.8568499356253875,0.9717286533761288,0.9269364839825986,395601,112954
2.40.10.10,random,validation,smiles,7,20971,11740,0.8568499356253875,0.9754304942773931,0.5579055664672233,395601,112954
2.40.10.10,random,cath_lso_test,smiles,5,18140,15645,0.0385887541345093,0.5178760973529034,0.9269364839825986,395601,112954
2.40.10.10,random,cath_lso_test,smiles,7,18140,9114,0.0385887541345093,0.5166359067733082,0.5579055664672233,395601,112954
2.40.70.10,composite_scaffold,validation,smiles,5,20070,17895,0.727752864972596,0.92291233986248,0.9231566055895164,381321,108679
2.40.70.10,composite_scaffold,validation,smiles,7,20070,10141,0.727752864972596,0.9370823846251488,0.5579682210001548,381321,108679
2.40.70.10,composite_scaffold,cath_lso_test,smiles,5,36510,34786,0.0016433853738701,0.5029482218291141,0.9231566055895164,381321,108679
2.40.70.10,composite_scaffold,cath_lso_test,smiles,7,36510,20485,0.0016433853738701,0.5014594873079766,0.5579682210001548,381321,108679
2.40.70.10,random,validation,smiles,5,20070,18525,0.8511709018435476,0.9691546191842564,0.9214615541170966,378337,110914
2.40.70.10,random,validation,smiles,7,20070,11143,0.8511709018435476,0.9718914858190308,0.5549734760279856,378337,110914
2.40.70.10,random,cath_lso_test,smiles,5,36510,34786,0.0016433853738701,0.5029482218291141,0.9214615541170966,378337,110914
2.40.70.10,random,cath_lso_test,smiles,7,36510,20485,0.0016433853738701,0.5014594873079766,0.5549734760279856,378337,110914
2.60.40.10,composite_scaffold,validation,smiles,5,21211,18967,0.7366932252133327,0.9223919685255008,0.9250645161290324,403000,111089
2.60.40.10,composite_scaffold,validation,smiles,7,21211,10615,0.7366932252133327,0.9424678115098492,0.5575632754342432,403000,111089
2.60.40.10,composite_scaffold,cath_lso_test,smiles,5,14709,13927,0.1429736895778095,0.4674121474102174,0.9250645161290324,403000,111089
2.60.40.10,composite_scaffold,cath_lso_test,smiles,7,14709,8676,0.1429736895778095,0.5628113399202802,0.5575632754342432,403000,111089
2.60.40.10,random,validation,smiles,5,21211,19646,0.8564424119560605,0.9697766928305122,0.9233644158896028,400010,113381
2.60.40.10,random,validation,smiles,7,21211,11719,0.8564424119560605,0.9742926681028108,0.5546786330341742,400010,113381
2.60.40.10,random,cath_lso_test,smiles,5,14709,13927,0.1450812427765313,0.4749706498462847,0.9233644158896028,400010,113381
2.60.40.10,random,cath_lso_test,smiles,7,14709,8676,0.1450812427765313,0.5619773491837616,0.5546786330341742,400010,113381
3.10.200.10,composite_scaffold,validation,smiles,5,16332,14511,0.7076904237080578,0.9149343842658928,0.9181606365391246,310303,110127
3.10.200.10,composite_scaffold,validation,smiles,7,16332,7514,0.7076904237080578,0.9339216602887132,0.5272233913304093,310303,110127
3.10.200.10,composite_scaffold,cath_lso_test,smiles,5,95479,90344,0.0109867091192827,0.5007253870977282,0.9181606365391246,310303,110127
3.10.200.10,composite_scaffold,cath_lso_test,smiles,7,95479,61695,0.0109867091192827,0.5027170774157941,0.5272233913304093,310303,110127
3.10.200.10,random,validation,smiles,5,16332,14974,0.8071883419054616,0.9606264505997928,0.9167434507240332,309309,111573
3.10.200.10,random,validation,smiles,7,16332,8573,0.8071883419054616,0.9649490174127096,0.5239517763789608,309309,111573
3.10.200.10,random,cath_lso_test,smiles,5,95479,90344,0.0105468218142209,0.5004962143613622,0.9167434507240332,309309,111573
3.10.200.10,random,cath_lso_test,smiles,7,95479,61695,0.0105468218142209,0.5031293714235181,0.5239517763789608,309309,111573
3.30.565.10,composite_scaffold,validation,smiles,5,21557,19348,0.7284872663172055,0.9156821572956984,0.9262247050550824,409568,114161
3.30.565.10,composite_scaffold,validation,smiles,7,21557,10764,0.7284872663172055,0.9388402849845248,0.5601096765372294,409568,114161
3.30.565.10,composite_scaffold,cath_lso_test,smiles,5,7882,7082,0.0107840649581324,0.5177958203897205,0.9262247050550824,409568,114161
3.30.565.10,composite_scaffold,cath_lso_test,smiles,7,7882,3889,0.0107840649581324,0.5026702038415517,0.5601096765372294,409568,114161
3.30.565.10,random,validation,smiles,5,21557,19892,0.851417173076031,0.968588893538622,0.9248166334316044,406699,116570
3.30.565.10,random,validation,smiles,7,21557,11897,0.851417173076031,0.9744853905616028,0.5570483330423729,406699,116570
3.30.565.10,random,cath_lso_test,smiles,5,7882,7082,0.0107840649581324,0.5177958203897205,0.9248166334316044,406699,116570
3.30.565.10,random,cath_lso_test,smiles,7,7882,3889,0.0107840649581324,0.5026702038415517,0.5570483330423729,406699,116570
3.40.190.10,composite_scaffold,validation,smiles,5,21811,19575,0.737838705240475,0.9218125095671208,0.9274041756353704,414404,114936
3.40.190.10,composite_scaffold,validation,smiles,7,21811,10984,0.737838705240475,0.942583323629638,0.5612132122276812,414404,114936
3.40.190.10,composite_scaffold,cath_lso_test,smiles,5,2657,1804,0.0681219420398946,0.5089829036945384,0.9274041756353704,414404,114936
3.40.190.10,composite_scaffold,cath_lso_test,smiles,7,2657,482,0.0681219420398946,0.526078122764344,0.5612132122276812,414404,114936
3.40.190.10,random,validation,smiles,5,21811,20188,0.8600706065746642,0.966809373283617,0.9258203157285726,411366,117326
3.40.190.10,random,validation,smiles,7,21811,12155,0.8600706065746642,0.975015306468472,0.5580334787026638,411366,117326
3.40.190.10,random,cath_lso_test,smiles,5,2657,1804,0.0692510350018818,0.5069166993758822,0.9258203157285726,411366,117326
3.40.190.10,random,cath_lso_test,smiles,7,2657,482,0.0692510350018818,0.5256207373491678,0.5580334787026638,411366,117326
