cath_id,method,query_partition,reference_partition,query_rows,reference_rows,query_unique_pockets,reference_unique_pockets,shared_unique_pockets,seen_query_rows,seen_query_row_fraction,seen_query_unique_pocket_fraction
1.10.1300.10,composite_scaffold,validation,train,21895,416005,6295,14712,3796,19380,0.8851335921443252,0.6030182684670373
1.10.1300.10,composite_scaffold,cath_lso_test,train,1108,416005,255,14712,0,0,0.0,0.0
1.10.1300.10,composite_scaffold,cath_lso_test,development,1108,437900,255,17211,0,0,0.0,0.0
1.10.1300.10,random,validation,train,21895,413034,4211,16588,3588,21270,0.9714546700159854,0.8520541439088103
1.10.1300.10,random,cath_lso_test,train,1108,413034,255,16588,0,0,0.0,0.0
1.10.1300.10,random,cath_lso_test,development,1108,434929,255,17211,0,0,0.0,0.0
1.10.510.10,composite_scaffold,validation,train,16433,312212,5044,12547,2647,14024,0.8534047343759509,0.524781919111816
1.10.510.10,composite_scaffold,cath_lso_test,train,109519,312212,2523,12547,1,1,9.130835745395776e-06,0.00039635354736424893
1.10.510.10,composite_scaffold,cath_lso_test,development,109519,328645,2523,14944,1,1,9.130835745395776e-06,0.00039635354736424893
1.10.510.10,random,validation,train,16433,309334,3081,14374,2511,15863,0.9653136980466135,0.8149951314508277
1.10.510.10,random,cath_lso_test,train,109519,309334,2523,14374,1,1,9.130835745395776e-06,0.00039635354736424893
1.10.510.10,random,cath_lso_test,development,109519,325767,2523,14944,1,1,9.130835745395776e-06,0.00039635354736424893
1.10.565.10,composite_scaffold,validation,train,20827,395712,6010,14267,3616,18405,0.8837086474288184,0.6016638935108153
1.10.565.10,composite_scaffold,cath_lso_test,train,22467,395712,806,14267,1,1,4.4509725374994435e-05,0.0012406947890818859
1.10.565.10,composite_scaffold,cath_lso_test,development,22467,416539,806,16661,1,1,4.4509725374994435e-05,0.0012406947890818859
1.10.565.10,random,validation,train,20827,392655,3932,16073,3344,20235,0.9715753589091084,0.8504577822990844
1.10.565.10,random,cath_lso_test,train,22467,392655,806,16073,1,1,4.4509725374994435e-05,0.0012406947890818859
1.10.565.10,random,cath_lso_test,development,22467,413482,806,16661,1,1,4.4509725374994435e-05,0.0012406947890818859
1.20.920.10,composite_scaffold,validation,train,21185,402505,6093,14581,3617,18691,0.8822751947132405,0.5936320367634991
1.20.920.10,composite_scaffold,cath_lso_test,train,13728,402505,409,14581,0,0,0.0,0.0
1.20.920.10,composite_scaffold,cath_lso_test,development,13728,423690,409,17057,0,0,0.0,0.0
1.20.920.10,random,validation,train,21185,399697,3984,16470,3397,20596,0.9721973094170404,0.8526606425702812
1.20.920.10,random,cath_lso_test,train,13728,399697,409,16470,0,0,0.0,0.0
1.20.920.10,random,cath_lso_test,development,13728,420882,409,17057,0,0,0.0,0.0
2.40.10.10,composite_scaffold,validation,train,20971,398449,5926,14081,3593,18622,0.8879881741452482,0.6063111711103611
2.40.10.10,composite_scaffold,cath_lso_test,train,18140,398449,1053,14081,1,1,5.5126791620727676e-05,0.000949667616334283
2.40.10.10,composite_scaffold,cath_lso_test,development,18140,419420,1053,16414,1,1,5.5126791620727676e-05,0.000949667616334283
2.40.10.10,random,validation,train,20971,395601,3964,15841,3391,20397,0.9726288684373658,0.8554490413723511
